CV_Text,JD_Text,Match_Label,Score
"Tôi có hơn 5 năm kinh nghiệm trong lĩnh vực tích hợp công nghệ, với vai trò chính là kết nối các hệ thống và dịch vụ khác nhau thành một giải pháp thống nhất. Tôi đã từng làm việc với các công nghệ như API, Microservices, và Cloud Computing, cũng như có kinh nghiệm với các công cụ như Docker, Kubernetes, và Jenkins. Tôi cũng có kiến thức sâu về các framework như Spring Boot và Node.js, cũng như các cơ sở dữ liệu như MySQL và MongoDB. Tôi đã từng tham gia vào nhiều dự án lớn, bao gồm việc tích hợp các hệ thống thanh toán trực tuyến và xây dựng các nền tảng thương mại điện tử.",Technology Integration,Positive,1.0
"Tôi có 3 năm kinh nghiệm trong lĩnh vực phát triển phần mềm, với sự tập trung vào việc xây dựng các ứng dụng web và di động. Tôi đã làm việc với các công nghệ như Java, Python, và JavaScript, cũng như có kinh nghiệm với các framework như React và Angular. Tuy nhiên, tôi chưa có nhiều kinh nghiệm với các công nghệ như Docker và Kubernetes, và tôi vẫn đang học hỏi về các công cụ như Jenkins và GitLab CI/CD. Tôi đã từng tham gia vào một số dự án nhỏ, bao gồm việc xây dựng các ứng dụng di động và các trang web thương mại điện tử.",Technology Integration,Medium,0.5
"Tôi có 2 năm kinh nghiệm trong lĩnh vực phân tích dữ liệu, với sự tập trung vào việc thu thập và phân tích dữ liệu để hỗ trợ việc ra quyết định kinh doanh. Tôi đã làm việc với các công cụ như Excel, Tableau, và Power BI, cũng như có kinh nghiệm với các ngôn ngữ như SQL và R. Tuy nhiên, tôi chưa có kinh nghiệm với các công nghệ như API, Microservices, và Cloud Computing, và tôi vẫn chưa hiểu rõ về các khái niệm như DevOps và Agile. Tôi đã từng tham gia vào một số dự án nhỏ, bao gồm việc xây dựng các báo cáo và dashboard để hỗ trợ việc ra quyết định kinh doanh.",Technology Integration,Hard_Negative,0.0
"Tôi là một chuyên viên phân tích kinh doanh với hơn 5 năm kinh nghiệm trong việc phân tích dữ liệu và phát triển các giải pháp kinh doanh thông minh. Tôi đã từng làm việc với các công cụ như Tableau, Power BI và SQL Server để tạo ra các báo cáo và dashboard giúp các nhà lãnh đạo đưa ra quyết định dựa trên dữ liệu. Tôi cũng có kinh nghiệm trong việc phát triển và triển khai các mô hình dự đoán và phân tích dữ liệu lớn. Tôi có bằng cấp về thống kê và kinh tế, và tôi luôn cập nhật những công nghệ mới nhất trong lĩnh vực phân tích kinh doanh.",Business Intelligence Analyst,Positive,1.0
"Tôi là một chuyên viên phân tích dữ liệu với 3 năm kinh nghiệm trong việc phân tích và trình bày dữ liệu. Tôi đã từng làm việc với các công cụ như Excel và Google Data Studio để tạo ra các báo cáo và biểu đồ. Tôi cũng có kiến thức cơ bản về lập trình Python và R, nhưng tôi chưa có kinh nghiệm trong việc sử dụng các công cụ như Tableau hoặc Power BI. Tôi có bằng cấp về toán học và tôi đang tìm cách phát triển kỹ năng của mình trong lĩnh vực phân tích kinh doanh.",Business Intelligence Analyst,Medium,0.5
"Tôi là một lập trình viên web với hơn 2 năm kinh nghiệm trong việc phát triển các ứng dụng web bằng ngôn ngữ Python và framework Django. Tôi đã từng làm việc với các công cụ như Git và GitHub để quản lý mã nguồn. Tôi cũng có kiến thức cơ bản về cơ sở dữ liệu và tôi đã từng làm việc với MySQL. Tuy nhiên, tôi chưa có kinh nghiệm trong việc phân tích dữ liệu hoặc phát triển các giải pháp kinh doanh thông minh. Tôi đang tìm cách chuyển sang lĩnh vực mới và tôi hy vọng sẽ có thể học hỏi và phát triển kỹ năng của mình trong lĩnh vực phân tích kinh doanh.",Business Intelligence Analyst,Hard_Negative,0.0
"Tôi là một chuyên gia phân tích dữ liệu với hơn 5 năm kinh nghiệm trong lĩnh vực thống kê. Tôi đã từng làm việc tại các công ty lớn như FPT và Viettel, nơi tôi đã áp dụng các kỹ thuật thống kê để phân tích và giải quyết các vấn đề kinh doanh. Tôi có kiến thức sâu về các mô hình thống kê, phân tích hồi quy và phân tích thời loạt. Tôi cũng có kỹ năng sử dụng các công cụ như R, Python và SQL để thực hiện các nhiệm vụ phân tích dữ liệu.",Statistics,Positive,1.0
"Tôi là một nhà phân tích kinh doanh với 3 năm kinh nghiệm trong lĩnh vực tài chính. Tôi đã từng làm việc tại các công ty nhỏ và vừa, nơi tôi đã áp dụng các kỹ thuật phân tích dữ liệu để đánh giá hiệu suất kinh doanh. Tuy nhiên, tôi chưa có kinh nghiệm trực tiếp với các mô hình thống kê phức tạp, nhưng tôi có kiến thức cơ bản về phân tích hồi quy và phân tích thời loạt. Tôi cũng có kỹ năng sử dụng các công cụ như Excel và Tableau để thực hiện các nhiệm vụ phân tích dữ liệu.",Statistics,Medium,0.5
"Tôi là một nhà thiết kế đồ họa với 2 năm kinh nghiệm trong lĩnh vực truyền thông. Tôi đã từng làm việc tại các công ty quảng cáo, nơi tôi đã áp dụng các kỹ thuật thiết kế để tạo ra các sản phẩm truyền thông. Tôi có kiến thức cơ bản về các công cụ thiết kế như Adobe Creative Cloud, nhưng tôi chưa có kinh nghiệm trực tiếp với các kỹ thuật thống kê hoặc phân tích dữ liệu. Tuy nhiên, tôi có kỹ năng sử dụng các công cụ như Python để tự động hóa các nhiệm vụ thiết kế.",Statistics,Hard_Negative,0.0
"Tôi là chuyên gia trực quan hóa dữ liệu với hơn 8 năm kinh nghiệm trong việc tạo ra các báo cáo và hình ảnh trực quan hấp dẫn. Tôi đã làm việc với các công cụ như Tableau, Power BI và D3.js để giúp các doanh nghiệp đưa ra quyết định dựa trên dữ liệu. Tôi cũng có kinh nghiệm trong việc phân tích dữ liệu và tạo ra các mô hình dự đoán. Tôi có bằng cấp về Khoa học máy tính và đã hoàn thành các khóa học về trực quan hóa dữ liệu và khoa học dữ liệu.",Data Visualization Expert,Positive,1.0
